Subdistt,Town/Village,Ward,EB,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Level
0,0,0,0,1547833,7003656,3625933,3377723,747324,390665,356659,969821,490089,479732,595789,299210,296579,5364680,2935129,2429551,1638976,690804,948172,2437875,1961081,476794,2083596,1748422,335174,60360,54680,5680,64631,48858,15773,95767,76965,18802,1862838,1567919,294919,354279,212659,141620,13278,8009,5269,56419,28235,28184,28022,14343,13679,256560,162072,94488,302886,183871,119015,11973,7255,4718,45360,23928,21432,22446,11774,10672,223107,140914,82193,51393,28788,22605,1305,754,551,11059,4307,6752,5576,2569,3007,33453,21158,12295,4565781,1664852,2900929,1
0,0,0,0,1813768,8842103,4720728,4121375,1095609,598019,497590,1393506,736362,657144,0,0,0,6440546,3653968,2786578,2401557,1066760,1334797,2913396,2414422,498974,2579478,2188012,391466,70078,61589,8489,83272,70819,12453,112362,95409,16953,2313766,1960195,353571,333918,226410,107508,12126,6301,5825,38905,26522,12383,15925,8924,7001,266962,184663,82299,281085,189484,91601,10139,5389,4750,31691,22047,9644,12722,7171,5551,226533,154877,71656,52833,36926,15907,1987,912,1075,7214,4475,2739,3203,1753,1450,40429,29786,10643,5928707,2306306,3622401,1
0,0,0,0,5513071,27743338,14639465,13103873,3076219,1665994,1410225,8860179,4639875,4220304,0,0,0,18707137,10436056,8271081,9036201,4203409,4832792,9897362,8074157,1823205,8450936,7264631,1186305,1803860,1691777,112083,1168021,1013979,154042,300660,215971,84689,5178395,4342904,835491,1446426,809526,636900,130651,61582,69069,420434,225466,194968,85300,33323,51977,810041,489155,320886,1150415,661526,488889,98849,50454,48395,309258,178294,130964,65487,25262,40225,676821,407516,269305,296011,148000,148011,31802,11128,20674,111176,47172,64004,19813,8061,11752,133220,81639,51581,17845976,6565308,11280668,1
0,0,0,0,207432,852753,417604,435149,88344,44729,43615,85900,41719,44181,0,0,0,676427,346888,329539,176326,70716,105610,297092,227226,69866,277501,215341,62160,2749,2427,322,8173,6332,1841,4343,2387,1956,262236,204195,58041,19591,11885,7706,353,207,146,1959,1065,894,846,278,568,16433,10335,6098,15861,9705,6156,305,174,131,1397,784,613,631,214,417,13528,8533,4995,3730,2180,1550,48,33,15,562,281,281,215,64,151,2905,1802,1103,555661,190378,365283,1
0,0,0,0,11080278,52557404,27149388,25408016,8325731,4329993,3995738,8268002,4311490,3956512,14276874,7187769,7089105,28281986,17054982,11227004,24275418,10094406,14181012,24715198,14741977,9973221,16729558,11488183,5241375,7885302,5765124,2120178,6303841,3807102,2496739,348081,198997,149084,2192334,1716960,475374,7985640,3253794,4731846,1588509,535311,1053198,5387362,2202565,3184797,248091,87348,160743,761678,428570,333108,6563542,2695259,3868283,1257790,410936,846854,4525061,1876356,2648705,190853,66946,123907,589838,341021,248817,1422098,558535,863563,330719,124375,206344,862301,326209,536092,57238,20402,36836,171840,87549,84291,27842206,12407411,15434795,1
0,0,0,0,7853754,33406061,16027412,17378649,3472955,1768244,1704711,3039573,1477808,1561765,484839,238203,246636,28135824,13704903,14430921,5270237,2322509,2947728,11619063,8451569,3167494,9329747,7179828,2149919,544932,465546,79386,919136,629092,290044,198281,132111,66170,7667398,5953079,1714319,2289316,1271741,1017575,125321,81360,43961,403714,228903,174811,74741,32504,42237,1685540,928974,756566,1828203,1061697,766506,99718,65980,33738,322129,189591,132538,57615,25818,31797,1348741,780308,568433,461113,210044,251069,25603,15380,10223,81585,39312,42273,17126,6686,10440,336799,148666,188133,21786998,7575843,14211155,1
0,0,0,0,430573,2371439,1194260,1177179,490592,248751,241841,11573,6086,5487,2136891,1070557,1066334,1315154,675636,639518,1056285,518624,537661,973458,561812,411646,730959,455430,275529,404202,239600,164602,111422,68258,43164,10712,5628,5084,204623,141944,62679,242499,106382,136117,82118,33016,49102,80801,34362,46439,8042,2719,5323,71538,36285,35253,190995,83435,107560,64462,25204,39258,63863,27360,36503,5688,1948,3740,56982,28923,28059,51504,22947,28557,17656,7812,9844,16938,7002,9936,2354,771,1583,14556,7362,7194,1397981,632448,765533,1
0,0,0,0,4149641,17471135,8408054,9063081,1823664,927888,895776,1818281,883819,934462,433092,213208,219884,14549320,7132430,7416890,2921815,1275624,1646191,6341957,4507501,1834456,4930191,3743078,1187113,481651,410532,71119,760632,510300,250332,104642,68889,35753,3583266,2753357,829909,1411766,764423,647343,105378,68349,37029,322371,179994,142377,46285,20508,25777,937732,495572,442160,1117029,635147,481882,83091,55059,28032,258394,149475,108919,35622,16378,19244,739922,414235,325687,294737,129276,165461,22287,13290,8997,63977,30519,33458,10663,4130,6533,197810,81337,116473,11129178,3900553,7228625,1
0,0,0,0,40364,160595,95455,65140,22391,11964,10427,4890,2568,2322,27620,13795,13825,124088,78471,45617,36507,16984,19523,73038,63490,9548,68088,60886,7202,1657,1388,269,728,446,282,589,457,132,65114,58595,6519,4950,2604,2346,367,148,219,502,115,387,250,107,143,3831,2234,1597,4409,2249,2160,311,129,182,453,103,350,227,99,128,3418,1918,1500,541,355,186,56,19,37,49,12,37,23,8,15,413,316,97,87557,31965,55592,1
0,0,0,0,4857524,25351462,13494734,11856728,3380721,1843109,1537612,5113615,2709656,2403959,0,0,0,16598988,9794067,6804921,8752474,3700667,5051807,8916508,6806636,2109872,7015283,5860600,1154683,1963311,1632783,330528,891273,718444,172829,201375,159666,41709,3959324,3349707,609617,1901225,946036,955189,517490,156339,361151,636860,322797,314063,60905,26867,34038,685970,440033,245937,1510526,769060,741466,384678,112161,272517,504135,267790,236345,48022,21366,26656,573691,367743,205948,390699,176976,213723,132812,44178,88634,132725,55007,77718,12883,5501,7382,112279,72290,39989,16434954,6688098,9746856,1
